x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20,label
0.0,0.0,0.0,-0.062793,-0.038993,-0.013028,-0.099761,-0.116161,-0.015294,-0.116771,-0.178008,-0.018931,-0.141165,-0.206064,-0.018528,-0.063595,-0.159183,0.002716,-0.082547,-0.1933,-0.017847,-0.07309,-0.135342,-0.024565,-0.064404,-0.129198,-0.027247,-0.026006,-0.16058,-0.001285,-0.044819,-0.186966,-0.023488,-0.042829,-0.12381,-0.021684,-0.033152,-0.124044,-0.015511,0.011556,-0.15195,-0.010215,-0.005864,-0.179121,-0.033022,-0.008714,-0.119705,-0.01779,7.2e-05,-0.116296,-0.002321,0.048039,-0.138382,-0.02096,0.034487,-0.164071,-0.030586,0.025809,-0.123534,-0.017454,0.031349,-0.113552,-0.005343,A
0.0,0.0,0.0,-0.06356,-0.038665,-0.013493,-0.100024,-0.115653,-0.015806,-0.117246,-0.177471,-0.019215,-0.142255,-0.205544,-0.018578,-0.06541,-0.160036,0.002173,-0.083279,-0.192971,-0.017584,-0.073581,-0.134518,-0.024123,-0.065022,-0.13014,-0.027125,-0.027229,-0.161866,-0.001415,-0.045571,-0.187398,-0.02295,-0.043366,-0.124071,-0.021293,-0.033878,-0.125812,-0.015569,0.010582,-0.153066,-0.009775,-0.006357,-0.179855,-0.032015,-0.009315,-0.120387,-0.0168,-0.001111,-0.118069,-0.001673,0.046575,-0.139222,-0.019961,0.034152,-0.164597,-0.02924,0.02515,-0.123634,-0.015962,0.029795,-0.114196,-0.003926,A
0.0,0.0,0.0,-0.062452,-0.040201,-0.01313,-0.098634,-0.117884,-0.015356,-0.115818,-0.179736,-0.019036,-0.140385,-0.209268,-0.018594,-0.063883,-0.160948,0.003447,-0.082733,-0.194794,-0.017973,-0.073082,-0.137707,-0.025404,-0.064762,-0.13122,-0.028296,-0.026581,-0.16197,-0.000595,-0.044878,-0.187865,-0.022943,-0.042398,-0.124446,-0.021397,-0.033353,-0.125265,-0.01532,0.011129,-0.152967,-0.009742,-0.005875,-0.180957,-0.033107,-0.008619,-0.120972,-0.017943,-0.000359,-0.117335,-0.002275,0.047555,-0.138817,-0.020715,0.034279,-0.164544,-0.030919,0.025151,-0.124231,-0.017882,0.029949,-0.114285,-0.005581,A
0.0,0.0,0.0,-0.062999,-0.039973,-0.012499,-0.098703,-0.117116,-0.014479,-0.115828,-0.178807,-0.017878,-0.140472,-0.207997,-0.017103,-0.065541,-0.16109,0.003241,-0.084004,-0.19535,-0.017326,-0.073292,-0.136962,-0.024284,-0.064617,-0.131022,-0.027147,-0.027593,-0.162139,-0.000678,-0.046243,-0.188684,-0.022444,-0.042836,-0.124699,-0.020764,-0.033718,-0.12562,-0.014807,0.010436,-0.153051,-0.009407,-0.007048,-0.181486,-0.031835,-0.009002,-0.120863,-0.016382,-0.000782,-0.117199,-0.000855,0.046599,-0.138987,-0.019889,0.033208,-0.164491,-0.029215,0.02441,-0.123664,-0.015845,0.029038,-0.114043,-0.003559,A
0.0,0.0,0.0,-0.06285,-0.039299,-0.013211,-0.09882,-0.116956,-0.015329,-0.115069,-0.17837,-0.018636,-0.138424,-0.207817,-0.017457,-0.06312,-0.161599,0.001636,-0.082255,-0.195965,-0.019855,-0.072662,-0.136498,-0.027069,-0.063338,-0.130379,-0.029887,-0.024998,-0.161894,-0.002168,-0.044159,-0.188941,-0.024662,-0.042034,-0.124367,-0.022495,-0.031438,-0.125834,-0.015949,0.012713,-0.152616,-0.010957,-0.005058,-0.17945,-0.033241,-0.007931,-0.119395,-0.017288,0.002331,-0.117695,-0.001441,0.048839,-0.138821,-0.021686,0.035131,-0.16209,-0.030548,0.025926,-0.122964,-0.017229,0.032024,-0.115592,-0.005038,A
0.0,0.0,0.0,-0.062651,-0.038058,-0.013389,-0.098645,-0.116324,-0.015484,-0.115403,-0.178441,-0.018626,-0.139007,-0.207351,-0.017216,-0.063887,-0.161661,0.001145,-0.081869,-0.1962,-0.019884,-0.071549,-0.135613,-0.026682,-0.062499,-0.129602,-0.029471,-0.025786,-0.162144,-0.00244,-0.044164,-0.18999,-0.024751,-0.041373,-0.124321,-0.022548,-0.03172,-0.125789,-0.016078,0.011939,-0.152838,-0.010892,-0.004794,-0.180199,-0.033022,-0.007112,-0.119573,-0.017031,0.001979,-0.117996,-0.001319,0.047831,-0.139037,-0.021261,0.035296,-0.162421,-0.029958,0.026504,-0.122414,-0.016543,0.031709,-0.115046,-0.004456,A
0.0,0.0,0.0,-0.062014,-0.036932,-0.014147,-0.097487,-0.113818,-0.016927,-0.114013,-0.175404,-0.021007,-0.136786,-0.207621,-0.0208,-0.063696,-0.160366,0.002714,-0.081304,-0.195409,-0.019823,-0.072386,-0.137913,-0.028007,-0.06359,-0.127459,-0.030859,-0.026465,-0.161172,-0.001053,-0.043607,-0.189016,-0.023599,-0.041694,-0.125196,-0.022204,-0.032046,-0.123672,-0.01601,0.010817,-0.151723,-0.010144,-0.00434,-0.177972,-0.033408,-0.007255,-0.118198,-0.018393,0.001653,-0.113937,-0.002818,0.046687,-0.136915,-0.021238,0.035315,-0.159113,-0.031165,0.026768,-0.120092,-0.018405,0.03182,-0.111865,-0.006365,A
0.0,0.0,0.0,-0.061777,-0.034817,-0.014538,-0.097961,-0.112614,-0.01733,-0.115378,-0.175274,-0.021262,-0.138396,-0.206763,-0.02061,-0.065104,-0.159156,0.001204,-0.081839,-0.19508,-0.021272,-0.071479,-0.135235,-0.028608,-0.06254,-0.126116,-0.031142,-0.027549,-0.159894,-0.002386,-0.044079,-0.18869,-0.025872,-0.041034,-0.122876,-0.024001,-0.031878,-0.122837,-0.017273,0.009915,-0.15081,-0.011235,-0.004119,-0.176918,-0.035,-0.006134,-0.116205,-0.019452,0.002334,-0.114127,-0.003432,0.045875,-0.136963,-0.022108,0.035829,-0.159602,-0.031931,0.027806,-0.119493,-0.018879,0.032492,-0.111911,-0.006744,A
0.0,0.0,0.0,-0.060639,-0.040052,-0.013705,-0.096168,-0.120493,-0.016273,-0.11294,-0.183351,-0.020495,-0.137408,-0.215261,-0.020675,-0.05973,-0.160616,0.002947,-0.077779,-0.201007,-0.02003,-0.07132,-0.144069,-0.02788,-0.06216,-0.131661,-0.030176,-0.022907,-0.160205,-0.000713,-0.040446,-0.194424,-0.024255,-0.041033,-0.127829,-0.022139,-0.02982,-0.122774,-0.014768,0.014402,-0.150303,-0.009786,-0.00225,-0.184786,-0.033525,-0.007724,-0.122746,-0.017623,0.002361,-0.11331,-0.000763,0.050488,-0.135735,-0.02081,0.037035,-0.166117,-0.030913,0.026576,-0.127468,-0.017893,0.033067,-0.115681,-0.005346,A
0.0,0.0,0.0,-0.061207,-0.041029,-0.011403,-0.096534,-0.120069,-0.01278,-0.113187,-0.18097,-0.015775,-0.137313,-0.210263,-0.014624,-0.063164,-0.163142,0.004888,-0.078879,-0.201055,-0.015771,-0.070246,-0.143064,-0.023461,-0.061449,-0.134191,-0.02678,-0.02635,-0.163524,0.000865,-0.042869,-0.196111,-0.020646,-0.041356,-0.13055,-0.019314,-0.031455,-0.12816,-0.0135,0.01072,-0.155263,-0.007935,-0.004681,-0.186878,-0.029189,-0.008316,-0.124706,-0.013286,0.000677,-0.117408,0.002391,0.046351,-0.142831,-0.018563,0.033384,-0.170361,-0.026957,0.024523,-0.129859,-0.013394,0.030709,-0.119767,-0.001121,A
